OpenLayersMapCode,Intermediate Geography,"House sales, numbers : 1993","House sales, numbers : 1994","House sales, numbers : 1995","House sales, numbers : 1996","House sales, numbers : 1997","House sales, numbers : 1998","House sales, numbers : 1999","House sales, numbers : 2000","House sales, numbers : 2001","House sales, numbers : 2002","House sales, numbers : 2003","House sales, numbers : 2004","House sales, numbers : 2005","House sales, numbers : 2006","House sales, numbers : 2007","House sales, numbers : 2008","House sales, numbers : 2009","House sales, numbers : 2010","House sales, numbers : 2011","House sales, numbers : 2012","House sales, lower quartile price : 1993","House sales, lower quartile price : 1994","House sales, lower quartile price : 1995","House sales, lower quartile price : 1996","House sales, lower quartile price : 1997","House sales, lower quartile price : 1998","House sales, lower quartile price : 1999","House sales, lower quartile price : 2000","House sales, lower quartile price : 2001","House sales, lower quartile price : 2002","House sales, lower quartile price : 2003","House sales, lower quartile price : 2004","House sales, lower quartile price : 2005","House sales, lower quartile price : 2006","House sales, lower quartile price : 2007","House sales, lower quartile price : 2008","House sales, lower quartile price : 2009","House sales, lower quartile price : 2010","House sales, lower quartile price : 2011","House sales, lower quartile price : 2012","House sales, median price : 1993","House sales, median price : 1994","House sales, median price : 1995","House sales, median price : 1996","House sales, median price : 1997","House sales, median price : 1998","House sales, median price : 1999","House sales, median price : 2000","House sales, median price : 2001","House sales, median price : 2002","House sales, median price : 2003","House sales, median price : 2004","House sales, median price : 2005","House sales, median price : 2006","House sales, median price : 2007","House sales, median price : 2008","House sales, median price : 2009","House sales, median price : 2010","House sales, median price : 2011","House sales, median price : 2012","House sales, mean price : 1993","House sales, mean price : 1994","House sales, mean price : 1995","House sales, mean price : 1996","House sales, mean price : 1997","House sales, mean price : 1998","House sales, mean price : 1999","House sales, mean price : 2000","House sales, mean price : 2001","House sales, mean price : 2002","House sales, mean price : 2003","House sales, mean price : 2004","House sales, mean price : 2005","House sales, mean price : 2006","House sales, mean price : 2007","House sales, mean price : 2008","House sales, mean price : 2009","House sales, mean price : 2010","House sales, mean price : 2011","House sales, mean price : 2012","House sales, upper quartile : 1993","House sales, upper quartile : 1994","House sales, upper quartile : 1995","House sales, upper quartile : 1996","House sales, upper quartile : 1997","House sales, upper quartile : 1998","House sales, upper quartile : 1999","House sales, upper quartile : 2000","House sales, upper quartile : 2001","House sales, upper quartile : 2002","House sales, upper quartile : 2003","House sales, upper quartile : 2004","House sales, upper quartile : 2005","House sales, upper quartile : 2006","House sales, upper quartile : 2007","House sales, upper quartile : 2008","House sales, upper quartile : 2009","House sales, upper quartile : 2010","House sales, upper quartile : 2011","House sales, upper quartile : 2012"
S02000411,S02000411   Drylaw,32,55,43,34,57,48,69,43,53,85,83,90,85,97,112,81,26,52,34,39,"35,125","35,000","37,900","36,950","36,500","39,250","42,000","41,000","42,500","49,850","59,900","75,000","90,000","95,000","120,000","118,000","100,000","99,500","100,000","85,000","43,256","42,000","44,500","44,500","46,950","47,750","54,000","46,000","55,000","68,000","75,000","95,650","115,000","120,000","138,250","131,000","123,750","120,500","133,000","120,000","58,809","46,210","60,050","47,541","45,379","54,201","55,966","49,686","58,866","67,068","80,411","98,059","131,068","125,926","157,949","153,074","128,563","129,213","139,315","127,594","52,000","54,150","59,950","56,100","52,500","56,000","60,000","53,121","60,000","81,500","90,000","122,000","149,049","140,000","186,343","172,000","140,000","151,250","160,000","163,400"
S02000412,S02000412   Broughton,244,239,222,227,280,324,363,325,336,391,404,451,389,403,451,233,181,175,142,170,"35,500","36,000","36,500","38,250","41,357","48,900","56,750","58,500","60,000","85,000","100,000","123,000","125,000","122,950","150,000","155,000","140,000","130,243","120,000","123,500","44,500","43,000","46,614","46,000","57,000","69,950","72,950","81,750","94,000","125,000","146,000","162,000","168,125","171,560","195,101","190,000","165,281","175,000","166,000","172,500","48,211","48,654","52,126","54,360","60,758","69,116","79,000","83,629","98,713","131,753","150,352","165,322","172,180","179,676","203,666","198,381","179,073","187,310","174,971","191,316","54,525","57,500","60,000","60,000","70,000","79,013","90,000","97,321","120,059","158,000","180,000","192,250","202,000","213,500","240,000","230,000","202,500","215,000","200,000","220,000"
S02000413,S02000413   Barnton and Cammo,54,74,64,65,77,65,68,54,54,66,66,87,69,98,103,50,39,51,51,62,"95,000","75,000","75,000","85,000","101,100","90,000","115,339","103,995","100,000","145,500","170,000","189,950","220,000","215,000","230,000","249,999","190,000","205,000","195,000","130,000","120,841","109,050","107,000","121,000","122,325","127,000","139,750","147,504","160,000","192,500","222,161","250,000","300,000","287,500","290,000","381,000","285,000","290,000","299,000","241,125","135,147","120,340","134,074","150,290","143,825","145,289","153,292","170,461","207,086","209,047","275,155","271,786","323,333","303,320","320,544","425,792","338,966","314,002","279,186","256,325","158,000","136,500","147,500","147,000","151,150","175,000","180,000","178,385","300,000","250,000","350,000","355,000","386,019","375,000","395,055","630,900","370,000","385,000","349,000","320,000"
S02000414,S02000414   Hermitage Park and Prospect Bank,122,110,106,155,145,149,168,184,159,171,191,149,205,185,213,102,66,82,61,64,"39,000","41,500","43,000","45,500","48,500","54,000","57,500","58,500","65,000","75,000","87,500","100,055","120,000","129,000","145,500","141,000","150,000","138,000","123,500","125,000","51,350","49,500","53,750","58,000","59,450","65,000","72,000","77,250","81,000","98,000","110,000","126,000","165,000","171,250","178,000","186,123","178,128","170,000","165,150","160,000","54,886","55,303","58,222","61,409","68,229","71,149","78,892","83,955","92,089","107,463","127,046","146,721","164,059","175,309","190,034","196,945","183,398","188,428","180,691","182,960","60,000","66,000","68,000","73,000","77,000","83,500","88,128","93,750","101,000","125,000","149,000","165,776","185,000","191,500","205,013","230,000","222,222","224,000","232,500","222,500"
S02000415,S02000415   Inverleith,101,113,86,113,123,134,141,100,135,115,118,114,106,120,109,96,84,76,64,70,"49,500","56,500","52,000","55,500","57,025","65,000","71,500","76,325","79,817","92,505","116,000","134,500","145,000","155,000","160,000","185,000","175,000","196,000","161,000","152,000","60,000","71,500","68,300","70,000","72,000","73,500","87,000","92,000","101,500","126,000","146,250","164,500","194,500","201,000","211,125","295,000","250,000","284,502","238,750","246,795","74,513","86,732","90,438","84,225","104,304","105,333","106,843","139,050","163,256","198,864","187,724","232,418","273,592","256,147","246,761","370,680","295,245","279,550","263,759","290,944","75,000","97,000","90,031","90,000","122,000","103,000","122,750","140,571","150,100","221,221","200,000","249,000","300,000","298,000","286,224","575,000","307,500","357,500","310,125","310,000"
S02000416,S02000416   South Leith,181,170,158,169,158,178,170,148,178,246,224,212,203,231,178,98,78,65,62,60,"31,000","31,000","33,000","33,995","34,995","36,995","39,000","45,000","47,000","60,000","75,000","89,413","92,200","105,000","125,000","120,000","115,000","110,000","105,000","95,000","35,500","35,875","38,000","41,500","40,750","44,950","50,000","52,534","58,000","75,000","94,514","114,225","115,000","125,100","143,946","133,000","132,750","125,000","120,000","120,250","37,697","37,954","40,664","45,939","42,942","49,984","51,386","57,666","61,757","80,656","100,194","119,501","119,254","133,812","153,963","145,543","142,759","143,529","125,705","126,871","42,000","44,000","44,500","47,995","49,000","55,555","59,500","64,675","70,000","89,756","125,000","140,250","138,500","156,550","165,000","159,000","166,500","150,000","147,000","155,000"
S02000417,S02000417   Silverknowes and Davidson`s Mains,71,87,65,70,83,82,69,69,80,93,96,121,113,103,120,55,48,56,45,56,"47,950","53,000","56,500","52,000","58,720","57,000","65,500","75,500","70,609","113,750","114,000","145,000","145,000","185,821","177,500","158,000","165,000","193,601","157,500","139,000","67,257","68,000","81,500","74,500","83,500","88,438","85,000","111,157","97,559","146,000","155,888","177,000","186,500","225,000","240,000","230,000","247,750","250,000","230,000","200,000","74,399","74,277","82,889","83,334","87,972","86,536","102,301","116,825","109,692","162,186","168,047","189,177","192,927","241,180","264,317","251,220","275,931","281,826","253,761","201,839","83,250","88,000","91,000","86,125","100,157","105,000","112,000","142,200","134,254","196,000","197,500","220,000","220,000","265,000","302,801","299,000","355,000","344,839","287,200","250,000"
S02000418,S02000418   Bonnington and Pilrig,130,168,150,136,159,163,156,164,169,218,234,218,151,184,215,108,102,92,98,72,"33,250","34,995","33,000","34,000","38,000","38,500","44,100","50,250","49,995","68,365","79,950","99,500","95,000","106,550","125,000","124,750","115,000","115,000","120,000","111,250","39,500","42,125","39,000","41,250","46,000","48,250","55,050","60,000","60,000","85,000","98,500","119,875","115,000","135,000","148,500","150,000","150,500","150,000","148,998","143,750","42,071","43,902","44,964","45,756","48,658","49,926","57,938","64,898","65,791","92,976","101,604","126,974","130,198","144,672","162,425","171,101","154,350","152,215","153,729","149,769","47,300","51,000","50,000","50,000","53,500","55,051","64,498","69,950","74,950","108,500","113,000","140,000","135,000","159,750","180,000","194,998","170,950","176,975","168,000","161,812"
S02000419,S02000419   Muirhouse,7,7,6,9,5,14,24,44,71,33,20,27,91,108,156,74,34,45,36,25,"15,000","17,000","27,500","25,750","28,000","32,000","30,000","28,475","44,350","32,500","34,000","29,000","61,200","112,250","122,750","130,000","90,000","120,000","87,250","75,000","17,500","19,995","28,998","26,950","30,000","33,250","35,750","34,738","51,333","47,750","56,278","43,000","128,900","131,500","146,500","157,125","115,000","129,995","118,902","88,000","28,333","27,267","31,289","42,194","30,890","34,643","37,298","36,493","49,134","43,163","52,147","51,193","124,066","141,064","152,909","150,331","109,610","132,355","108,078","112,132","29,500","22,000","34,950","32,000","34,950","42,000","44,000","44,350","57,000","50,000","62,500","75,000","165,000","187,475","186,750","166,995","125,000","137,000","131,500","125,000"
S02000420,S02000420   Great Junction Street,86,89,89,87,97,107,99,97,197,220,240,281,204,225,214,103,63,61,54,57,"29,500","31,750","32,500","35,000","33,500","34,900","39,177","46,346","55,000","71,759","85,250","105,000","105,000","120,750","131,117","125,000","112,000","110,000","105,750","108,000","34,000","38,000","39,600","42,000","38,000","40,000","48,000","57,500","79,950","95,250","120,500","138,000","135,000","148,750","150,000","150,000","130,000","140,000","131,750","140,000","37,165","41,221","45,003","44,585","42,386","44,832","53,332","65,569","76,515","102,631","124,016","137,887","138,612","151,549","158,146","161,344","135,997","142,271","134,291","146,468","39,000","48,277","53,000","52,500","48,750","53,000","62,121","80,000","91,750","125,000","138,498","170,910","163,024","169,500","180,000","190,000","159,995","170,000","150,000","165,000"
S02000421,S02000421   Cramond,64,66,64,73,83,80,77,66,63,76,59,68,99,110,146,76,52,34,42,64,"55,500","77,000","73,000","73,000","75,000","80,575","92,700","100,000","97,000","117,018","140,000","172,500","175,150","231,616","300,000","249,500","184,500","169,000","233,000","192,500","90,050","103,500","97,250","110,000","115,000","111,250","140,000","142,096","142,000","175,000","183,000","275,614","325,000","326,500","382,500","320,000","291,000","308,750","335,000","314,375","104,081","126,389","108,403","150,734","139,006","146,015","169,100","200,745","155,652","212,284","247,567","317,846","324,157","368,034","428,153","368,045","365,474","296,025","376,905","343,559","124,500","156,000","117,500","201,000","165,518","166,250","230,000","230,000","200,000","259,250","320,000","375,000","482,500","525,000","615,000","437,500","485,000","380,000","495,000","394,975"
S02000422,S02000422   West Pilton,77,102,63,63,56,49,77,111,174,155,130,124,126,147,190,168,101,53,59,76,"29,000","31,000","31,500","29,950","29,998","29,995","31,950","33,900","35,000","36,000","44,500","48,845","62,150","73,000","100,000","112,250","110,000","105,000","85,000","83,750","31,500","34,950","33,000","33,000","32,000","35,750","36,000","42,000","45,500","45,000","56,500","63,890","71,500","88,027","117,298","130,498","119,995","120,000","117,000","103,250","33,027","36,335","34,643","34,407","34,068","37,304","44,828","52,335","63,693","54,863","68,902","71,245","86,382","110,853","121,977","132,710","119,217","127,472","111,751","106,300","36,000","42,000","37,750","36,000","39,375","42,950","45,000","55,000","96,500","57,000","76,256","79,000","95,000","142,500","134,995","149,316","132,000","145,000","135,000","129,000"
S02000423,S02000423   Boswall and Pilton,68,69,83,75,76,120,93,79,112,121,91,98,190,175,249,120,79,64,71,85,"41,000","41,150","43,000","43,000","43,620","48,000","49,000","53,000","55,250","60,000","72,500","87,500","120,000","118,000","145,000","147,080","145,000","125,000","126,126","125,000","44,250","44,950","46,000","51,000","47,000","68,625","53,000","59,999","62,250","72,000","80,115","104,750","168,000","168,000","195,000","176,500","200,000","156,250","160,500","165,100","53,146","56,127","57,956","63,136","54,966","67,835","69,081","77,081","79,830","90,259","104,488","120,548","167,317","167,914","195,909","194,605","198,237","172,166","174,906","170,535","59,050","60,000","68,250","81,000","62,409","81,000","90,000","99,000","96,500","107,157","118,000","140,000","205,000","200,000","235,000","245,000","249,000","230,751","220,000","205,000"
S02000424,S02000424   East Trinity and Bonnyhaugh,160,162,152,176,168,180,174,209,179,177,161,165,162,203,150,102,101,77,89,77,"47,250","44,000","47,000","54,000","54,975","59,950","70,257","78,200","73,000","97,122","105,000","122,250","128,500","142,500","158,000","152,800","146,500","180,000","158,000","147,000","58,250","57,456","64,725","69,998","70,000","76,882","91,750","115,115","100,000","123,123","140,000","148,500","167,500","175,000","191,500","203,750","185,000","212,500","185,000","177,500","67,801","65,823","75,166","78,166","79,106","90,477","110,252","124,644","131,905","150,755","162,706","174,855","204,372","211,675","239,868","270,093","237,677","256,272","236,820","237,994","77,875","75,500","87,500","87,750","86,500","107,666","136,000","150,000","155,000","180,000","175,000","188,000","230,000","250,000","280,000","360,000","277,273","300,000","275,000","280,000"
S02000425,S02000425   Trinity,130,133,115,121,99,135,114,111,121,116,113,114,107,121,123,84,56,82,56,84,"50,000","51,950","52,000","49,500","54,297","67,500","52,000","65,000","67,500","88,500","124,124","129,500","150,000","130,000","162,100","168,998","160,000","187,087","183,750","176,500","66,750","66,500","70,000","76,000","80,000","91,000","89,750","97,500","106,601","126,613","173,173","184,228","219,000","195,000","237,100","250,000","237,500","272,500","280,000","250,000","86,217","84,807","90,149","94,410","104,173","114,398","108,970","133,567","152,578","192,831","226,407","244,622","274,221","251,954","296,041","318,176","287,030","327,049","323,503","329,404","95,751","92,157","100,017","111,111","130,000","121,000","133,000","149,000","175,006","244,075","273,000","305,000","351,275","321,150","360,000","395,575","350,700","425,000","462,778","447,500"
S02000426,S02000426   Leith Docks,85,105,123,131,195,244,290,183,305,446,354,385,390,533,450,314,231,149,121,136,"33,995","34,500","40,000","43,000","46,000","56,750","59,950","60,000","74,000","85,000","112,000","121,168","125,000","142,050","150,000","146,500","135,300","145,000","145,000","136,250","42,000","42,995","47,950","55,000","60,000","73,875","70,743","75,000","92,995","112,000","137,000","150,000","167,500","176,450","179,975","176,000","160,000","165,000","162,000","162,500","44,278","47,648","50,339","54,887","63,723","76,089","73,431","82,316","95,544","117,736","150,247","159,777","189,110","192,803","201,306","197,782","175,122","181,269","175,967","169,316","48,950","52,995","59,500","66,950","76,000","93,500","83,950","96,450","105,500","138,000","177,000","185,000","224,000","230,000","233,028","239,395","195,000","190,000","195,000","202,500"
S02000427,S02000427   North Leith and Newhaven,135,148,127,148,140,136,148,151,149,305,301,166,207,240,185,113,64,62,55,76,"31,500","32,000","33,500","33,500","34,000","35,000","38,250","43,500","45,500","67,000","77,000","83,520","93,000","102,100","120,000","115,000","105,000","95,000","106,000","95,750","35,500","37,500","39,950","39,625","39,850","41,071","45,505","56,000","57,950","100,450","130,000","97,500","120,000","129,290","138,500","135,000","122,000","119,500","135,000","114,000","39,474","45,219","46,184","44,803","44,949","49,323","57,678","62,792","75,591","111,621","134,312","116,487","135,935","143,314","168,239","163,800","131,079","134,455","153,849","128,912","41,000","45,000","50,000","49,950","49,475","54,500","65,000","68,000","79,500","137,500","170,000","129,750","159,000","162,500","185,000","177,500","151,250","138,500","162,000","137,750"
S02000428,S02000428   Waterfront and Granton,33,40,38,48,37,50,44,38,57,53,73,106,67,142,186,143,57,56,50,58,"32,000","35,000","32,000","36,000","40,000","37,000","39,498","32,000","41,000","38,000","58,000","70,210","75,054","95,600","119,000","118,000","114,995","110,000","80,000","82,000","38,500","41,475","40,500","42,250","42,500","40,500","46,000","42,500","52,000","55,000","73,500","119,500","92,500","120,000","159,148","160,000","129,670","120,000","104,428","124,250","38,447","41,789","39,455","42,463","45,994","43,334","49,288","42,040","51,387","61,146","90,716","122,385","97,220","139,216","172,471","166,082","140,746","125,831","119,659","126,153","41,500","44,750","43,500","46,500","47,000","46,500","50,500","50,000","58,500","71,517","110,660","145,000","113,500","175,703","215,950","196,950","160,995","137,000","174,000","169,500"
S02000429,S02000429   South Queensferry (East) and Dalmeny,91,109,96,95,147,115,157,135,105,164,143,90,135,158,120,76,50,55,54,73,"38,000","36,700","41,725","37,500","44,000","42,000","47,000","48,000","51,750","65,000","75,000","81,250","93,661","119,500","135,075","120,000","121,000","123,000","150,000","115,000","45,950","45,125","48,750","47,000","56,000","55,900","60,000","65,000","63,500","85,000","90,500","112,125","127,500","141,139","172,550","165,000","153,500","165,000","204,500","134,500","53,399","53,180","58,811","55,854","62,787","72,358","96,651","89,973","78,076","114,187","145,098","144,823","140,864","164,221","216,645","197,002","212,000","204,877","264,648","168,060","57,000","56,000","60,000","59,000","72,000","89,000","155,000","91,000","82,000","151,413","210,000","175,000","154,000","185,000","286,391","222,000","249,500","280,000","365,000","178,000"
S02000430,S02000430   South Queensferry West,115,123,125,105,108,92,102,91,97,99,80,74,82,118,97,60,54,35,36,55,"45,000","45,000","45,500","49,500","46,000","49,750","47,000","49,995","49,995","64,500","72,850","83,125","89,000","98,275","122,000","110,305","120,000","111,500","132,500","110,000","57,700","57,000","56,950","60,000","59,000","59,998","60,000","65,500","71,000","80,550","95,780","115,500","125,000","135,000","165,000","159,475","173,483","175,000","155,000","151,000","62,495","64,454","60,950","64,263","61,702","63,735","66,113","69,523","76,024","89,742","102,471","128,213","128,285","142,044","165,252","166,605","170,586","162,863","165,550","153,708","70,000","68,000","70,000","75,000","70,000","71,500","75,500","85,000","90,000","110,277","124,071","155,000","165,000","175,000","200,000","216,000","208,000","195,000","182,498","185,000"
