OpenLayersMapCode,Intermediate Geography,"House sales, numbers : 1993","House sales, numbers : 1994","House sales, numbers : 1995","House sales, numbers : 1996","House sales, numbers : 1997","House sales, numbers : 1998","House sales, numbers : 1999","House sales, numbers : 2000","House sales, numbers : 2001","House sales, numbers : 2002","House sales, numbers : 2003","House sales, numbers : 2004","House sales, numbers : 2005","House sales, numbers : 2006","House sales, numbers : 2007","House sales, numbers : 2008","House sales, numbers : 2009","House sales, numbers : 2010","House sales, numbers : 2011","House sales, numbers : 2012","House sales, lower quartile price : 1993","House sales, lower quartile price : 1994","House sales, lower quartile price : 1995","House sales, lower quartile price : 1996","House sales, lower quartile price : 1997","House sales, lower quartile price : 1998","House sales, lower quartile price : 1999","House sales, lower quartile price : 2000","House sales, lower quartile price : 2001","House sales, lower quartile price : 2002","House sales, lower quartile price : 2003","House sales, lower quartile price : 2004","House sales, lower quartile price : 2005","House sales, lower quartile price : 2006","House sales, lower quartile price : 2007","House sales, lower quartile price : 2008","House sales, lower quartile price : 2009","House sales, lower quartile price : 2010","House sales, lower quartile price : 2011","House sales, lower quartile price : 2012","House sales, median price : 1993","House sales, median price : 1994","House sales, median price : 1995","House sales, median price : 1996","House sales, median price : 1997","House sales, median price : 1998","House sales, median price : 1999","House sales, median price : 2000","House sales, median price : 2001","House sales, median price : 2002","House sales, median price : 2003","House sales, median price : 2004","House sales, median price : 2005","House sales, median price : 2006","House sales, median price : 2007","House sales, median price : 2008","House sales, median price : 2009","House sales, median price : 2010","House sales, median price : 2011","House sales, median price : 2012","House sales, mean price : 1993","House sales, mean price : 1994","House sales, mean price : 1995","House sales, mean price : 1996","House sales, mean price : 1997","House sales, mean price : 1998","House sales, mean price : 1999","House sales, mean price : 2000","House sales, mean price : 2001","House sales, mean price : 2002","House sales, mean price : 2003","House sales, mean price : 2004","House sales, mean price : 2005","House sales, mean price : 2006","House sales, mean price : 2007","House sales, mean price : 2008","House sales, mean price : 2009","House sales, mean price : 2010","House sales, mean price : 2011","House sales, mean price : 2012","House sales, upper quartile : 1993","House sales, upper quartile : 1994","House sales, upper quartile : 1995","House sales, upper quartile : 1996","House sales, upper quartile : 1997","House sales, upper quartile : 1998","House sales, upper quartile : 1999","House sales, upper quartile : 2000","House sales, upper quartile : 2001","House sales, upper quartile : 2002","House sales, upper quartile : 2003","House sales, upper quartile : 2004","House sales, upper quartile : 2005","House sales, upper quartile : 2006","House sales, upper quartile : 2007","House sales, upper quartile : 2008","House sales, upper quartile : 2009","House sales, upper quartile : 2010","House sales, upper quartile : 2011","House sales, upper quartile : 2012"
S02000401,"S02000401   Abbeyhill, Meadowbank and Marionville",317,293,223,266,336,364,295,275,325,302,383,289,281,296,286,167,131,142,123,159,"32,500","32,250","33,000","34,000","36,375","39,950","41,000","45,500","51,750","60,000","78,500","91,000","93,995","105,104","124,450","120,000","113,202","114,000","111,995","108,000","37,250","35,500","37,000","38,679","45,000","52,538","48,500","58,000","60,000","73,513","100,000","105,000","112,000","127,000","135,800","132,500","138,000","138,000","128,275","130,995","41,446","39,920","42,587","42,704","48,382","54,463","53,713","62,103","69,637","83,558","112,091","116,618","126,024","134,628","151,953","141,412","156,563","146,652","139,936","132,730","51,500","44,000","45,500","47,000","57,275","66,000","64,257","75,000","84,000","97,225","142,000","135,000","148,000","155,000","170,000","165,000","170,000","167,500","146,000","145,000"
S02000402,S02000402   Hillside and Calton Hill,195,244,175,211,185,232,201,201,209,203,191,150,199,238,218,144,99,100,83,99,"33,000","38,500","38,500","40,000","43,950","50,000","50,000","57,000","60,000","75,000","95,000","99,950","115,000","139,000","141,500","141,500","135,000","125,000","140,000","141,500","39,000","46,000","46,000","50,000","54,147","60,000","73,327","78,000","84,333","101,567","122,560","135,000","140,000","175,000","185,791","185,000","172,000","179,375","175,000","175,000","45,803","51,048","54,798","57,402","62,726","69,884","84,863","90,382","90,370","123,571","142,736","149,986","157,338","187,849","209,981","196,591","201,557","207,616","200,331","196,813","45,500","55,500","57,057","60,000","66,266","72,830","90,509","95,000","107,000","137,137","166,117","171,171","180,250","211,100","240,000","230,398","225,000","244,000","237,500","242,500"
S02000403,S02000403   Restalrig (Loganlea),54,50,43,56,54,60,107,83,86,92,118,98,138,145,119,72,36,38,37,36,"30,500","32,500","32,500","36,000","34,000","34,500","40,000","42,000","44,000","52,750","63,100","80,000","85,000","97,000","110,126","115,108","94,000","101,500","83,000","77,875","36,250","38,000","38,000","38,850","38,250","39,250","46,500","46,500","47,625","58,250","71,080","87,175","97,498","107,995","122,576","124,998","106,000","115,000","97,000","86,875","38,699","40,140","42,997","44,396","40,444","45,149","54,174","55,381","57,442","61,931","79,636","98,743","112,970","127,809","127,350","129,564","103,388","123,809","99,476","99,500","42,000","41,000","43,121","43,250","43,500","43,250","71,000","58,507","55,000","65,000","83,000","115,995","139,250","145,500","135,000","130,125","118,500","145,000","105,000","104,500"
S02000404,S02000404   Stockbridge,254,306,263,278,272,281,263,240,291,285,222,222,271,258,223,181,97,169,126,142,"45,000","49,000","49,000","53,267","58,444","64,500","70,111","75,863","80,000","97,232","118,000","137,000","142,000","160,000","175,280","182,000","151,250","167,000","165,000","170,000","55,800","60,000","60,000","67,473","76,000","80,000","90,100","100,551","106,000","132,000","155,000","178,900","175,000","203,837","238,000","249,995","192,500","237,500","214,750","240,001","69,507","77,989","77,509","83,045","95,062","107,588","121,853","124,021","142,156","174,168","200,746","212,636","214,974","259,635","271,773","294,609","253,248","255,678","259,080","284,360","73,555","79,000","85,000","90,000","106,551","115,000","127,650","142,000","155,000","193,441","221,221","245,000","242,500","280,750","340,000","370,000","285,000","340,000","334,000","344,000"
S02000405,S02000405   New Town East,136,175,141,160,184,217,195,172,249,196,181,176,162,184,165,89,93,94,85,88,"43,000","50,100","51,000","52,904","60,000","59,555","78,000","84,000","95,758","112,057","150,000","160,500","154,000","178,500","198,000","175,000","172,500","210,300","200,020","197,500","54,000","62,250","68,000","77,667","77,500","76,375","107,557","125,000","140,250","167,486","193,000","204,000","205,000","240,625","267,600","245,000","224,000","292,042","250,000","264,000","61,297","73,389","72,721","81,449","83,164","90,874","119,533","132,740","154,928","187,210","211,462","229,606","226,459","267,098","310,419","303,157","276,843","337,258","286,493","304,490","75,563","88,370","90,000","98,754","94,000","97,887","150,000","169,000","189,000","227,755","249,000","278,000","270,000","342,500","395,000","405,800","311,255","405,150","350,000","385,000"
S02000406,S02000406   Craigentinny,52,43,53,59,39,47,49,54,45,54,51,55,53,55,55,34,27,34,29,36,"72,511","80,500","79,000","74,000","77,648","84,148","96,751","115,000","130,000","152,559","160,000","205,000","210,000","226,000","230,000","223,000","220,000","220,000","197,500","234,975","82,500","90,157","85,000","86,168","93,000","110,000","120,000","138,629","146,250","180,716","191,000","250,000","236,000","272,000","270,270","272,500","265,000","273,750","250,000","265,415","84,758","91,207","88,081","90,584","96,524","102,280","117,098","137,848","147,244","185,030","192,893","243,782","235,208","264,702","261,680","257,433","262,016","258,005","246,129","276,743","93,539","101,000","95,555","98,050","113,500","120,000","135,000","160,000","170,056","217,100","230,000","273,372","273,000","295,000","310,000","302,500","297,500","305,000","285,000","292,000"
S02000407,S02000407   Craigleith,81,111,132,138,178,189,128,96,112,99,140,119,122,128,119,128,77,102,85,97,"73,500","75,000","62,225","60,000","75,000","89,995","98,525","88,498","96,750","111,000","130,000","155,000","146,250","167,500","178,612","196,288","180,000","175,000","186,000","175,000","85,500","88,437","77,250","84,010","89,975","102,000","120,000","115,000","130,000","133,000","173,750","190,000","190,000","210,000","210,000","245,000","250,000","212,000","208,000","223,000","90,191","94,637","86,329","86,856","96,817","107,555","118,144","119,439","134,961","151,378","178,822","210,363","216,476","241,850","238,319","271,753","277,332","241,671","224,559","241,086","99,700","111,000","101,758","101,500","111,000","121,500","131,000","145,500","157,000","180,000","200,000","249,000","257,637","280,932","275,000","341,009","349,000","286,500","243,000","290,000"
S02000408,S02000408   Comely Bank,164,145,129,155,172,157,148,142,154,131,131,128,144,146,126,98,77,98,106,85,"53,250","60,000","62,000","65,000","71,000","75,000","80,060","97,015","97,500","126,500","148,000","170,625","164,285","187,000","215,000","196,000","185,000","199,000","195,000","187,000","62,175","70,001","75,000","75,666","84,625","88,000","98,500","120,000","125,125","147,500","175,129","196,098","188,667","234,750","250,000","243,250","225,000","234,000","235,000","215,000","71,377","80,843","88,622","89,455","93,468","102,754","112,143","133,318","146,975","181,002","200,497","210,387","215,930","262,847","289,380","280,857","252,239","261,130","273,415","266,242","77,500","94,000","94,630","92,000","107,000","114,175","121,800","135,500","175,000","188,089","235,000","227,291","240,000","275,000","340,000","300,000","255,000","295,000","317,000","285,000"
S02000409,S02000409   Lorne,224,256,216,239,214,256,295,261,304,315,335,423,282,379,335,218,113,110,75,88,"29,950","31,000","31,950","32,500","33,000","34,925","38,500","43,500","45,000","59,525","71,000","86,500","89,000","98,230","121,000","121,109","105,000","102,107","95,000","94,500","32,000","34,000","34,000","35,317","38,000","39,227","46,000","52,000","53,000","72,125","84,000","106,000","104,050","119,000","138,500","135,000","128,500","123,250","107,000","118,000","33,167","35,934","36,306","36,891","39,416","42,659","49,315","57,040","61,900","79,678","93,231","114,063","114,537","128,846","144,721","141,349","132,364","125,969","112,486","120,824","35,200","40,222","40,528","41,500","45,000","49,950","59,950","64,000","70,000","98,000","115,000","140,000","140,000","152,000","165,000","164,564","146,000","150,000","130,000","145,000"
S02000410,S02000410   Restalrig and Lochend,19,36,45,42,44,57,57,67,60,76,70,57,62,95,89,52,35,29,24,25,"33,000","32,625","36,000","34,000","33,700","39,000","38,000","40,000","44,000","52,000","63,000","73,000","80,000","90,000","105,050","110,000","100,000","93,000","80,000","80,000","35,000","36,250","40,750","37,000","37,000","45,000","42,750","50,159","48,600","58,750","70,000","82,000","88,000","99,000","120,000","119,975","110,000","110,000","101,500","95,000","34,976","41,834","54,298","41,188","38,548","59,464","51,240","57,314","53,167","60,388","72,423","87,361","91,525","104,556","119,282","117,936","111,231","105,733","101,765","103,230","38,000","38,725","55,500","46,950","42,000","86,000","68,000","76,000","54,100","70,000","78,078","89,000","98,000","117,000","127,500","125,000","120,000","125,000","118,000","122,000"
