OpenLayersMapCode,Intermediate Geography,Total no. of SIMD crimes : 2004,Total no. of SIMD crimes : 2007/2008,"No. SIMD crimes per 10,000 : 2004","No. SIMD crimes per 10,000 : 2007/2008",Total no. of SIMD crimes of violence : 2004,Total no. of SIMD crimes of violence : 2007/2008,"No. SIMD crimes of violence per 10,000 : 2004","No. SIMD crimes of violence per 10,000 : 2007/2008",Total no. of SIMD drug offences : 2004,Total no. of SIMD drug offences : 2007/2008,"No. SIMD drug offences per 10,000 : 2004","No. SIMD drug offences per 10,000 : 2007/2008",Total no. of SIMD domestic housebreakings : 2004,Total no. of SIMD domestic housebreakings : 2007/2008,"No. SIMD domestic housebreakings per 10,000 : 2004","No. SIMD domestic housebreakings per 10,000 : 2007/2008",Total no. of SIMD minor assaults : 2004,Total no. of SIMD minor assaults : 2007/2008,"No. SIMD minor assaults per 10,000 : 2004","No. SIMD minor assaults per 10,000 : 2007/2008",Total no. of SIMD vandalisms etc : 2004,Total no. of SIMD vandalisms etc : 2007/2008,"No. SIMD vandalisms per 10,000 : 2004","No. SIMD vandalisms per 10,000 : 2007/2008"
S02000396,S02000396   Portobello,265,276,671,691,16,12,40,30,29,19,73,48,13,12,33,30,68,83,172,208,140,150,354,376
S02000397,S02000397   Blackhall,110,155,216,301,10,,20,,,,,,17,59,33,115,21,13,41,25,,78,,152
S02000398,S02000398   New Town West,209,230,391,423,9,,17,,35,,65,,19,45,36,83,58,78,108,144,89,91,166,167
S02000399,S02000399   Bughtlin and Parkgrove,228,206,449,409,6,8,12,16,,16,,32,73,20,144,40,23,44,45,87,,118,,234
S02000400,S02000400   Clermiston,182,264,350,522,20,12,38,24,5,28,10,55,20,17,38,34,52,71,100,140,85,136,163,269
S02000401,"S02000401   Abbeyhill, Meadowbank and Marionville",292,391,501,622,9,31,15,49,10,51,17,81,24,50,41,80,64,110,110,175,185,149,317,237
S02000402,S02000402   Hillside and Calton Hill,227,270,471,510,26,19,54,36,14,18,29,34,25,62,52,117,64,59,133,111,97,111,201,210
S02000403,S02000403   Restalrig (Loganlea),173,191,518,556,8,10,24,29,9,8,27,23,6,12,18,35,45,38,135,111,105,123,314,358
S02000404,S02000404   Stockbridge,147,168,256,288,10,8,17,14,,11,,19,12,34,21,58,34,18,59,31,,98,,168
S02000405,S02000405   New Town East,200,172,504,405,13,12,33,28,36,16,91,38,16,27,40,64,54,55,136,130,81,62,204,146
S02000406,S02000406   Craigentinny,55,74,193,253,0,,0,,,,,,12,20,42,68,10,11,35,38,,39,,133
S02000407,S02000407   Craigleith,85,137,217,353,,5,,13,,6,,15,23,25,59,64,17,22,43,57,40,78,102,201
S02000408,S02000408   Comely Bank,56,97,158,255,,,,,0,,0,,6,31,17,82,17,11,48,29,,51,,134
S02000409,S02000409   Lorne,256,452,464,719,27,37,49,59,27,107,49,170,32,56,58,89,73,105,132,167,97,147,176,234
S02000410,S02000410   Restalrig and Lochend,291,334,773,909,20,15,53,41,39,90,104,245,17,20,45,54,65,72,173,196,149,138,396,376
S02000411,S02000411   Drylaw,275,288,620,645,23,11,52,25,20,23,45,52,29,31,65,69,103,63,232,141,101,161,228,361
S02000412,S02000412   Broughton,244,308,383,423,21,18,33,25,8,11,13,15,47,45,74,62,52,87,82,119,116,147,182,202
S02000413,S02000413   Barnton and Cammo,42,44,136,141,,,,,,,,,17,18,55,58,4,,13,,,18,,58
S02000414,S02000414   Hermitage Park and Prospect Bank,199,193,384,373,10,6,19,12,13,18,25,35,20,17,39,33,34,35,66,68,122,117,235,226
S02000415,S02000415   Inverleith,109,140,316,414,6,,17,,,,,,30,47,87,139,23,16,67,47,,68,,201
S02000416,S02000416   South Leith,402,314,839,621,37,18,77,36,57,22,119,43,32,35,67,69,117,109,244,215,159,131,332,259
S02000417,S02000417   Silverknowes and Davidson`s Mains,129,201,316,484,14,,34,,6,,15,,28,53,69,128,25,40,61,96,56,98,137,236
S02000418,S02000418   Bonnington and Pilrig,347,342,801,698,21,20,48,41,67,93,155,190,66,41,152,84,66,52,152,106,126,135,291,276
S02000419,S02000419   Muirhouse,817,616,"1,465","1,121",73,26,131,47,124,50,222,91,99,81,178,147,227,182,407,331,294,277,527,504
S02000420,S02000420   Great Junction Street,483,530,"1,336","1,191",56,26,155,58,72,72,199,162,51,57,141,128,157,151,434,339,147,223,407,501
S02000421,S02000421   Cramond,37,28,119,83,0,,0,,8,,26,,16,7,51,21,,,,,,15,,44
S02000422,S02000422   West Pilton,678,456,"1,186",728,50,30,87,48,42,31,73,49,195,53,341,85,141,147,247,235,251,195,439,311
S02000423,S02000423   Boswall and Pilton,245,193,601,441,7,10,17,23,17,12,42,27,73,41,179,94,35,47,86,107,112,83,275,190
S02000424,S02000424   East Trinity and Bonnyhaugh,259,203,534,412,,,,,23,,47,,58,48,120,97,,20,,41,156,125,322,254
S02000425,S02000425   Trinity,197,186,434,414,5,,11,,0,10,0,22,49,49,108,109,13,,29,,131,114,288,254
S02000426,S02000426   Leith Docks,330,341,830,679,29,13,73,26,56,39,141,78,44,65,111,129,79,82,199,163,121,142,304,283
S02000427,S02000427   North Leith and Newhaven,445,526,918,"1,038",26,24,54,47,42,83,87,164,39,54,80,107,91,127,188,251,246,239,507,472
S02000428,S02000428   Waterfront and Granton,482,507,895,897,32,32,59,57,58,54,108,95,64,33,119,58,101,151,188,267,228,237,423,419
S02000429,S02000429   South Queensferry (East) and Dalmeny,206,224,370,398,11,6,20,11,25,18,45,32,8,20,14,36,34,63,61,112,127,118,228,210
S02000430,S02000430   South Queensferry West,104,87,246,214,,,,,,,,,13,11,31,27,25,25,59,61,61,43,144,106
